Row_ID;Order_ID;Order_Date;Ship_Date;Ship_Mode;Customer_ID;Customer_Name;Segment;Country;City;State;Postal_Code;Region;Product_ID;Category;Sub_Category;Product_Name;Sales;Quantity;Discount;Profit;Latitude;Longitude;Geo
7478;CA-2014-167199;06.01.2017;10.01.2017;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;TEC-PH-10004977;Technology;Phones;GE 30524EE4;391,98;2;0;113,67;37,836;-87,59;[37,836,-87,59]
7479;CA-2014-167199;06.01.2017;10.01.2017;Standard Class;ME-17320;Maria Etezadi;Home Office;United States;Henderson;Kentucky;42420;South;TEC-PH-10004539;Technology;Phones;Wireless Extenders zBoost YX545 SOHO Signal Booster;755,96;4;0;204,11;37,836;-87,59;[37,836,-87,59]
5328;CA-2014-130813;06.01.2017;08.01.2017;Second Class;LS-17230;Lycoris Saunders;Consumer;United States;Los Angeles;California;90049;West;OFF-PA-10002005;Office Supplies;Paper;Xerox 225;19,44;3;0;9,33;34,052;-118,243;[34,052,-118,243]
7661;CA-2014-105417;07.01.2017;12.01.2017;Standard Class;VS-21820;Vivek Sundaresam;Consumer;United States;Huntsville;Texas;77340;Central;FUR-FU-10004864;Furniture;Furnishings;"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock";76,73;3;0,6;-53,71;30,723;-95,55;[30,723,-95,55]
7662;CA-2014-105417;07.01.2017;12.01.2017;Standard Class;VS-21820;Vivek Sundaresam;Consumer;United States;Huntsville;Texas;77340;Central;OFF-BI-10003708;Office Supplies;Binders;"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""";10,43;7;0,8;-18,25;30,723;-95,55;[30,723,-95,55]
594;CA-2014-135405;09.01.2017;13.01.2017;Standard Class;MS-17830;Melanie Seite;Consumer;United States;Laredo;Texas;78041;Central;TEC-AC-10001266;Technology;Accessories;Memorex Micro Travel Drive 8 GB;31,2;3;0,2;9,75;27,506;-99,507;[27,506,-99,507]
593;CA-2014-135405;09.01.2017;13.01.2017;Standard Class;MS-17830;Melanie Seite;Consumer;United States;Laredo;Texas;78041;Central;OFF-AR-10004078;Office Supplies;Art;Newell 312;9,34;2;0,2;1,17;27,506;-99,507;[27,506,-99,507]
866;CA-2014-149020;10.01.2017;15.01.2017;Standard Class;AJ-10780;Anthony Jacobs;Corporate;United States;Springfield;Virginia;22153;South;OFF-LA-10004272;Office Supplies;Labels;Avery 482;2,89;1;0;1,36;38,789;-77,187;[38,789,-77,187]
867;CA-2014-149020;10.01.2017;15.01.2017;Standard Class;AJ-10780;Anthony Jacobs;Corporate;United States;Springfield;Virginia;22153;South;FUR-FU-10000965;Furniture;Furnishings;"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock";51,94;1;0;21,3;38,789;-77,187;[38,789,-77,187]
717;CA-2014-130092;11.01.2017;14.01.2017;First Class;SV-20365;Seth Vernon;Consumer;United States;Dover;Delaware;19901;East;FUR-FU-10000010;Furniture;Furnishings;DAX Value U-Channel Document Frames, Easel Back;9,94;2;0;3,08;39,158;-75,524;[39,158,-75,524]
4938;CA-2014-157147;13.01.2017;18.01.2017;Standard Class;BD-11605;Brian Dahlen;Consumer;United States;San Francisco;California;94109;West;OFF-ST-10000078;Office Supplies;Storage;Tennsco 6- and 18-Compartment Lockers;1325,85;5;0;238,65;37,774;-122,419;[37,774,-122,419]
4940;CA-2014-157147;13.01.2017;18.01.2017;Standard Class;BD-11605;Brian Dahlen;Consumer;United States;San Francisco;California;94109;West;OFF-AR-10003514;Office Supplies;Art;4009 Highlighters by Sanford;19,9;5;0;6,57;37,774;-122,419;[37,774,-122,419]
764;CA-2014-162775;13.01.2017;15.01.2017;Second Class;CS-12250;Chris Selesnick;Corporate;United States;Bossier City;Louisiana;71111;South;OFF-EN-10001990;Office Supplies;Envelopes;Staple envelope;11,36;2;0;5,34;32,515;-93,732;[32,515,-93,732]
765;CA-2014-162775;13.01.2017;15.01.2017;Second Class;CS-12250;Chris Selesnick;Corporate;United States;Bossier City;Louisiana;71111;South;OFF-EN-10001532;Office Supplies;Envelopes;Brown Kraft Recycled Envelopes;50,94;3;0;25,47;32,515;-93,732;[32,515,-93,732]
767;CA-2014-162775;13.01.2017;15.01.2017;Second Class;CS-12250;Chris Selesnick;Corporate;United States;Bossier City;Louisiana;71111;South;OFF-BI-10004187;Office Supplies;Binders;3-ring staple pack;5,64;3;0;2,71;32,515;-93,732;[32,515,-93,732]
768;CA-2014-162775;13.01.2017;15.01.2017;Second Class;CS-12250;Chris Selesnick;Corporate;United States;Bossier City;Louisiana;71111;South;OFF-ST-10000025;Office Supplies;Storage;Fellowes Stor/Drawer Steel Plus Storage Drawers;572,58;6;0;34,35;32,515;-93,732;[32,515,-93,732]
766;CA-2014-162775;13.01.2017;15.01.2017;Second Class;CS-12250;Chris Selesnick;Corporate;United States;Bossier City;Louisiana;71111;South;TEC-AC-10003174;Technology;Accessories;Plantronics S12 Corded Telephone Headset System;646,74;6;0;258,7;32,515;-93,732;[32,515,-93,732]
2979;CA-2014-109232;13.01.2017;16.01.2017;Second Class;ND-18370;Natalie DeCherney;Consumer;United States;Mount Pleasant;South Carolina;29464;South;FUR-CH-10000422;Furniture;Chairs;Global Highback Leather Tilter in Burgundy;545,94;6;0;87,35;32,794;-79,862;[32,794,-79,862]
9629;CA-2014-118192;13.01.2017;18.01.2017;Standard Class;MM-17920;Michael Moore;Consumer;United States;Newark;Ohio;43055;East;OFF-PA-10002947;Office Supplies;Paper;Xerox 1923;37,41;7;0,2;13,09;40,058;-82,401;[40,058,-82,401]
4939;CA-2014-157147;13.01.2017;18.01.2017;Standard Class;BD-11605;Brian Dahlen;Consumer;United States;San Francisco;California;94109;West;FUR-BO-10003034;Furniture;Bookcases;O'Sullivan Elevations Bookcase, Cherry Finish;334;3;0,15;3,93;37,774;-122,419;[37,774,-122,419]
9630;CA-2014-118192;13.01.2017;18.01.2017;Standard Class;MM-17920;Michael Moore;Consumer;United States;Newark;Ohio;43055;East;OFF-BI-10003476;Office Supplies;Binders;Avery Metallic Poly Binders;3,44;2;0,7;-2,52;40,058;-82,401;[40,058,-82,401]
6475;CA-2014-149524;14.01.2017;15.01.2017;First Class;BS-11590;Brendan Sweed;Corporate;United States;Philadelphia;Pennsylvania;19140;East;FUR-BO-10003433;Furniture;Bookcases;Sauder Cornerstone Collection Library;61,96;4;0,5;-53,29;39,952;-75,163;[39,952,-75,163]
1914;CA-2014-103366;15.01.2017;17.01.2017;First Class;EH-13990;Erica Hackney;Consumer;United States;Roswell;Georgia;30076;South;TEC-AC-10003628;Technology;Accessories;Logitech 910-002974 M325 Wireless Mouse for Web Scrolling;149,95;5;0;65,98;34,023;-84,361;[34,023,-84,361]
971;CA-2014-115791;16.01.2017;18.01.2017;Second Class;DL-13315;Delfina Latchford;Consumer;United States;Philadelphia;Pennsylvania;19134;East;FUR-FU-10001095;Furniture;Furnishings;DAX Black Cherry Wood-Tone Poster Frame;127,1;6;0,2;28,6;39,952;-75,163;[39,952,-75,163]
974;CA-2014-115791;16.01.2017;18.01.2017;Second Class;DL-13315;Delfina Latchford;Consumer;United States;Philadelphia;Pennsylvania;19134;East;OFF-LA-10001074;Office Supplies;Labels;Round Specialty Laser Printer Labels;30,07;3;0,2;10,15;39,952;-75,163;[39,952,-75,163]
973;CA-2014-115791;16.01.2017;18.01.2017;Second Class;DL-13315;Delfina Latchford;Consumer;United States;Philadelphia;Pennsylvania;19134;East;OFF-BI-10001575;Office Supplies;Binders;GBC Linen Binding Covers;18,59;2;0,7;-13,63;39,952;-75,163;[39,952,-75,163]
972;CA-2014-115791;16.01.2017;18.01.2017;Second Class;DL-13315;Delfina Latchford;Consumer;United States;Philadelphia;Pennsylvania;19134;East;TEC-PH-10004614;Technology;Phones;AT&T 841000 Phone;124,2;3;0,4;-31,05;39,952;-75,163;[39,952,-75,163]
5365;CA-2014-123477;18.01.2017;21.01.2017;Second Class;DW-13195;David Wiener;Corporate;United States;Springfield;Oregon;97477;West;OFF-AP-10000692;Office Supplies;Appliances;Fellowes Mighty 8 Compact Surge Protector;64,86;4;0,2;6,49;44,046;-123,022;[44,046,-123,022]
5464;CA-2014-146591;19.01.2017;20.01.2017;First Class;TS-21340;Toby Swindell;Consumer;United States;Scottsdale;Arizona;85254;West;OFF-PA-10000659;Office Supplies;Paper;TOPS Carbonless Receipt Book, Four 2-3/4 x 7-1/4 Money Receipts per Page;56,06;4;0,2;19,62;33,509;-111,899;[33,509,-111,899]
5465;CA-2014-146591;19.01.2017;20.01.2017;First Class;TS-21340;Toby Swindell;Consumer;United States;Scottsdale;Arizona;85254;West;OFF-EN-10002504;Office Supplies;Envelopes;Tyvek  Top-Opening Peel & Seel Envelopes, Plain White;108,72;5;0,2;36,69;33,509;-111,899;[33,509,-111,899]
5466;CA-2014-146591;19.01.2017;20.01.2017;First Class;TS-21340;Toby Swindell;Consumer;United States;Scottsdale;Arizona;85254;West;FUR-BO-10001972;Furniture;Bookcases;O'Sullivan 4-Shelf Bookcase in Odessa Pine;181,47;5;0,7;-320,6;33,509;-111,899;[33,509,-111,899]
5463;CA-2014-146591;19.01.2017;20.01.2017;First Class;TS-21340;Toby Swindell;Consumer;United States;Scottsdale;Arizona;85254;West;OFF-BI-10003676;Office Supplies;Binders;GBC Standard Recycled Report Covers, Clear Plastic Sheets;32,34;10;0,7;-23,72;33,509;-111,899;[33,509,-111,899]
1122;US-2014-147627;20.01.2017;26.01.2017;Standard Class;HL-15040;Hunter Lopez;Consumer;United States;Jonesboro;Arkansas;72401;South;TEC-PH-10001061;Technology;Phones;Apple iPhone 5C;699,93;7;0;181,98;35,842;-90,704;[35,842,-90,704]
7121;US-2014-147774;20.01.2017;26.01.2017;Standard Class;MM-18280;Muhammed MacIntyre;Corporate;United States;Smyrna;Tennessee;37167;South;OFF-BI-10003091;Office Supplies;Binders;GBC DocuBind TL200 Manual Binding Machine;67,19;1;0,7;-51,52;35,982;-86,518;[35,982,-86,518]
6330;CA-2014-167927;20.01.2017;26.01.2017;Standard Class;XP-21865;Xylona Preis;Consumer;United States;Westland;Michigan;48185;Central;OFF-AP-10002311;Office Supplies;Appliances;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;247,72;4;0,1;93,58;42,324;-83,4;[42,324,-83,4]
6329;CA-2014-167927;20.01.2017;26.01.2017;Standard Class;XP-21865;Xylona Preis;Consumer;United States;Westland;Michigan;48185;Central;OFF-BI-10000605;Office Supplies;Binders;"Acco Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Executive Red";19,05;5;0;8,95;42,324;-83,4;[42,324,-83,4]
6334;CA-2014-167927;20.01.2017;26.01.2017;Standard Class;XP-21865;Xylona Preis;Consumer;United States;Westland;Michigan;48185;Central;OFF-BI-10004364;Office Supplies;Binders;Storex Dura Pro Binders;29,7;5;0;13,36;42,324;-83,4;[42,324,-83,4]
6327;CA-2014-167927;20.01.2017;26.01.2017;Standard Class;XP-21865;Xylona Preis;Consumer;United States;Westland;Michigan;48185;Central;OFF-ST-10000760;Office Supplies;Storage;Eldon Fold 'N Roll Cart System;13,98;1;0;4,05;42,324;-83,4;[42,324,-83,4]
6331;CA-2014-167927;20.01.2017;26.01.2017;Standard Class;XP-21865;Xylona Preis;Consumer;United States;Westland;Michigan;48185;Central;OFF-ST-10003123;Office Supplies;Storage;Fellowes Bases and Tops For Staxonsteel/High-Stak Systems;66,58;2;0;15,98;42,324;-83,4;[42,324,-83,4]
1123;US-2014-147627;20.01.2017;26.01.2017;Standard Class;HL-15040;Hunter Lopez;Consumer;United States;Jonesboro;Arkansas;72401;South;OFF-AR-10002375;Office Supplies;Art;Newell 351;22,96;7;0;6,66;35,842;-90,704;[35,842,-90,704]
1125;US-2014-147627;20.01.2017;26.01.2017;Standard Class;HL-15040;Hunter Lopez;Consumer;United States;Jonesboro;Arkansas;72401;South;OFF-AR-10003811;Office Supplies;Art;Newell 327;6,63;3;0;1,79;35,842;-90,704;[35,842,-90,704]
6332;CA-2014-167927;20.01.2017;26.01.2017;Standard Class;XP-21865;Xylona Preis;Consumer;United States;Westland;Michigan;48185;Central;OFF-AR-10004456;Office Supplies;Art;Panasonic KP-4ABK Battery-Operated Pencil Sharpener;43,92;3;0;12,74;42,324;-83,4;[42,324,-83,4]
1126;US-2014-147627;20.01.2017;26.01.2017;Standard Class;HL-15040;Hunter Lopez;Consumer;United States;Jonesboro;Arkansas;72401;South;OFF-EN-10001539;Office Supplies;Envelopes;Staple envelope;23,34;3;0;10,97;35,842;-90,704;[35,842,-90,704]
1127;US-2014-147627;20.01.2017;26.01.2017;Standard Class;HL-15040;Hunter Lopez;Consumer;United States;Jonesboro;Arkansas;72401;South;FUR-CH-10002331;Furniture;Chairs;Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms;1067,94;3;0;224,27;35,842;-90,704;[35,842,-90,704]
1124;US-2014-147627;20.01.2017;26.01.2017;Standard Class;HL-15040;Hunter Lopez;Consumer;United States;Jonesboro;Arkansas;72401;South;FUR-FU-10003194;Furniture;Furnishings;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;38,6;4;0;11,58;35,842;-90,704;[35,842,-90,704]
6328;CA-2014-167927;20.01.2017;26.01.2017;Standard Class;XP-21865;Xylona Preis;Consumer;United States;Westland;Michigan;48185;Central;FUR-FU-10002918;Furniture;Furnishings;Eldon ClusterMat Chair Mat with Cordless Antistatic Protection;272,94;3;0;30,02;42,324;-83,4;[42,324,-83,4]
6333;CA-2014-167927;20.01.2017;26.01.2017;Standard Class;XP-21865;Xylona Preis;Consumer;United States;Westland;Michigan;48185;Central;FUR-FU-10002268;Furniture;Furnishings;Ultra Door Push Plate;14,73;3;0;4,86;42,324;-83,4;[42,324,-83,4]
5737;CA-2014-148614;20.01.2017;25.01.2017;Standard Class;MV-17485;Mark Van Huff;Consumer;United States;Los Angeles;California;90049;West;OFF-PA-10002893;Office Supplies;Paper;"Wirebound Service Call Books, 5 1/2"" x 4""";19,36;2;0;9,29;34,052;-118,243;[34,052,-118,243]
5738;CA-2014-148614;20.01.2017;25.01.2017;Standard Class;MV-17485;Mark Van Huff;Consumer;United States;Los Angeles;California;90049;West;FUR-FU-10003194;Furniture;Furnishings;Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak;19,3;2;0;5,79;34,052;-118,243;[34,052,-118,243]
9990;CA-2014-110422;21.01.2017;23.01.2017;Second Class;TB-21400;Tom Boeckenhauer;Consumer;United States;Miami;Florida;33180;South;FUR-FU-10001889;Furniture;Furnishings;Ultra Door Pull Handle;25,25;3;0,2;4,1;25,774;-80,193;[25,774,-80,193]
9156;CA-2014-102645;23.01.2017;28.01.2017;Standard Class;IM-15055;Ionia McGrath;Consumer;United States;Las Vegas;Nevada;89115;West;OFF-PA-10001804;Office Supplies;Paper;Xerox 195;40,08;6;0;19,24;36,174;-115,137;[36,174,-115,137]
9887;CA-2014-146997;23.01.2017;27.01.2017;Standard Class;SG-20605;Speros Goranitis;Consumer;United States;Lafayette;Indiana;47905;Central;OFF-FA-10003467;Office Supplies;Fasteners;Alliance Big Bands Rubber Bands, 12/Pack;5,94;3;0;0;40,416;-86,875;[40,416,-86,875]
8150;CA-2014-167997;26.01.2017;29.01.2017;First Class;CA-11965;Carol Adams;Corporate;United States;Rapid City;South Dakota;57701;Central;OFF-BI-10001758;Office Supplies;Binders;Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders;10,68;2;0;5,02;44,08;-103,231;[44,08,-103,231]
8151;CA-2014-167997;26.01.2017;29.01.2017;First Class;CA-11965;Carol Adams;Corporate;United States;Rapid City;South Dakota;57701;Central;FUR-BO-10004409;Furniture;Bookcases;Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray;141,96;2;0;39,75;44,08;-103,231;[44,08,-103,231]
2579;US-2014-155502;26.01.2017;31.01.2017;Standard Class;SD-20485;Shirley Daniels;Home Office;United States;Alexandria;Virginia;22304;South;FUR-FU-10004587;Furniture;Furnishings;GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack;62,82;3;0;30,78;38,804;-77,046;[38,804,-77,046]
2584;US-2014-155502;26.01.2017;31.01.2017;Standard Class;SD-20485;Shirley Daniels;Home Office;United States;Alexandria;Virginia;22304;South;FUR-FU-10001847;Furniture;Furnishings;Eldon Image Series Black Desk Accessories;12,42;3;0;4,47;38,804;-77,046;[38,804,-77,046]
2580;US-2014-155502;26.01.2017;31.01.2017;Standard Class;SD-20485;Shirley Daniels;Home Office;United States;Alexandria;Virginia;22304;South;OFF-ST-10004337;Office Supplies;Storage;SAFCO Commercial Wire Shelving, 72h;489,92;8;0;0;38,804;-77,046;[38,804,-77,046]
2581;US-2014-155502;26.01.2017;31.01.2017;Standard Class;SD-20485;Shirley Daniels;Home Office;United States;Alexandria;Virginia;22304;South;OFF-PA-10003072;Office Supplies;Paper;"Eureka Recycled Copy Paper 8 1/2"" x 11"", Ream";19,44;3;0;9,33;38,804;-77,046;[38,804,-77,046]
2582;US-2014-155502;26.01.2017;31.01.2017;Standard Class;SD-20485;Shirley Daniels;Home Office;United States;Alexandria;Virginia;22304;South;OFF-PA-10000380;Office Supplies;Paper;"REDIFORM Incoming/Outgoing Call Register, 11"" X 8 1/2"", 100 Messages";16,68;2;0;8,34;38,804;-77,046;[38,804,-77,046]
2583;US-2014-155502;26.01.2017;31.01.2017;Standard Class;SD-20485;Shirley Daniels;Home Office;United States;Alexandria;Virginia;22304;South;TEC-PH-10004833;Technology;Phones;Macally Suction Cup Mount;155,35;13;0;0;38,804;-77,046;[38,804,-77,046]
2585;US-2014-155502;26.01.2017;31.01.2017;Standard Class;SD-20485;Shirley Daniels;Home Office;United States;Alexandria;Virginia;22304;South;TEC-PH-10002103;Technology;Phones;Jabra SPEAK 410;187,98;2;0;52,63;38,804;-77,046;[38,804,-77,046]
3795;US-2014-117163;27.01.2017;02.02.2017;Standard Class;EJ-13720;Ed Jacobs;Consumer;United States;San Diego;California;92037;West;OFF-ST-10003692;Office Supplies;Storage;Recycled Steel Personal File for Hanging File Folders;57,23;1;0;14,31;32,715;-117,157;[32,715,-117,157]
3797;US-2014-117163;27.01.2017;02.02.2017;Standard Class;EJ-13720;Ed Jacobs;Consumer;United States;San Diego;California;92037;West;OFF-AR-10003179;Office Supplies;Art;Dixon Ticonderoga Core-Lock Colored Pencils;36,44;4;0;12,03;32,715;-117,157;[32,715,-117,157]
3796;US-2014-117163;27.01.2017;02.02.2017;Standard Class;EJ-13720;Ed Jacobs;Consumer;United States;San Diego;California;92037;West;FUR-TA-10003469;Furniture;Tables;Balt Split Level Computer Training Table;333;3;0,2;-16,65;32,715;-117,157;[32,715,-117,157]
3084;CA-2014-100328;28.01.2017;03.02.2017;Standard Class;JC-15340;Jasper Cacioppo;Consumer;United States;New York City;New York;10024;East;OFF-BI-10000343;Office Supplies;Binders;"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue";3,93;1;0,2;1,33;40,714;-74,005;[40,714,-74,005]
6388;CA-2014-134103;30.01.2017;04.02.2017;Standard Class;MV-18190;Mike Vittorini;Consumer;United States;Detroit;Michigan;48234;Central;OFF-PA-10001204;Office Supplies;Paper;Xerox 1972;10,56;2;0;4,75;42,331;-83,045;[42,331,-83,045]
6389;CA-2014-134103;30.01.2017;04.02.2017;Standard Class;MV-18190;Mike Vittorini;Consumer;United States;Detroit;Michigan;48234;Central;OFF-ST-10000991;Office Supplies;Storage;Space Solutions HD Industrial Steel Shelving.;229,94;2;0;6,9;42,331;-83,045;[42,331,-83,045]
3366;CA-2014-115161;31.01.2017;02.02.2017;First Class;LC-17050;Liz Carlisle;Consumer;United States;Mission Viejo;California;92691;West;FUR-BO-10003966;Furniture;Bookcases;Sauder Facets Collection Library, Sky Alder Finish;290,67;2;0,15;3,42;33,6;-117,672;[33,6,-117,672]
541;CA-2014-140795;01.02.2017;03.02.2017;First Class;BD-11500;Bradley Drucker;Consumer;United States;Green Bay;Wisconsin;54302;Central;TEC-AC-10001432;Technology;Accessories;Enermax Aurora Lite Keyboard;468,9;6;0;206,32;44,519;-88,019;[44,519,-88,019]
1704;CA-2014-139857;02.02.2017;06.02.2017;Standard Class;CD-12790;Cynthia Delaney;Home Office;United States;San Diego;California;92037;West;OFF-FA-10001843;Office Supplies;Fasteners;Staples;12,35;5;0;5,8;32,715;-117,157;[32,715,-117,157]
9138;CA-2014-123400;02.02.2017;09.02.2017;Standard Class;EB-13930;Eric Barreto;Consumer;United States;Saint Petersburg;Florida;33710;South;OFF-BI-10000666;Office Supplies;Binders;Surelock Post Binders;18,34;2;0,7;-12,22;27,77;-82,679;[27,77,-82,679]
9139;CA-2014-123400;02.02.2017;09.02.2017;Standard Class;EB-13930;Eric Barreto;Consumer;United States;Saint Petersburg;Florida;33710;South;TEC-PH-10002890;Technology;Phones;AT&T 17929 Lendline Telephone;180,96;5;0,2;13,57;27,77;-82,679;[27,77,-82,679]
1518;CA-2014-111059;03.02.2017;06.02.2017;Second Class;TB-21400;Tom Boeckenhauer;Consumer;United States;Seattle;Washington;98105;West;OFF-BI-10004593;Office Supplies;Binders;Ibico Laser Imprintable Binding System Covers;83,84;2;0,2;27,25;47,606;-122,332;[47,606,-122,332]
1519;CA-2014-111059;03.02.2017;06.02.2017;Second Class;TB-21400;Tom Boeckenhauer;Consumer;United States;Seattle;Washington;98105;West;OFF-BI-10002827;Office Supplies;Binders;Avery Durable Poly Binders;13,27;3;0,2;4,31;47,606;-122,332;[47,606,-122,332]
1545;CA-2014-107181;04.02.2017;08.02.2017;Standard Class;DB-13270;Deborah Brumfield;Home Office;United States;San Diego;California;92024;West;OFF-PA-10000350;Office Supplies;Paper;"Message Book, Standard Line ""While You Were Out"", 5 1/2"" X 4"", 200 Sets/Book";34,24;4;0;16,09;32,715;-117,157;[32,715,-117,157]
1544;CA-2014-107181;04.02.2017;08.02.2017;Standard Class;DB-13270;Deborah Brumfield;Home Office;United States;San Diego;California;92024;West;OFF-BI-10004230;Office Supplies;Binders;GBC Recycled Grain Textured Covers;82,9;3;0,2;29,01;32,715;-117,157;[32,715,-117,157]
8585;CA-2014-104808;04.02.2017;08.02.2017;Second Class;MH-17440;Mark Haberlin;Corporate;United States;Escondido;California;92025;West;OFF-BI-10003676;Office Supplies;Binders;GBC Standard Recycled Report Covers, Clear Plastic Sheets;17,25;2;0,2;6,04;33,119;-117,086;[33,119,-117,086]
1998;CA-2014-131905;06.02.2017;09.02.2017;First Class;ND-18460;Neil Ducich;Corporate;United States;Chesapeake;Virginia;23320;South;OFF-LA-10002787;Office Supplies;Labels;Avery 480;15;4;0;7,2;36,819;-76,274;[36,819,-76,274]
1999;CA-2014-131905;06.02.2017;09.02.2017;First Class;ND-18460;Neil Ducich;Corporate;United States;Chesapeake;Virginia;23320;South;TEC-PH-10003645;Technology;Phones;Aastra 57i VoIP phone;161,61;1;0;42,02;36,819;-76,274;[36,819,-76,274]
2000;CA-2014-131905;06.02.2017;09.02.2017;First Class;ND-18460;Neil Ducich;Corporate;United States;Chesapeake;Virginia;23320;South;TEC-PH-10001615;Technology;Phones;AT&T CL82213;144,95;5;0;42,04;36,819;-76,274;[36,819,-76,274]
8981;CA-2014-108182;06.02.2017;10.02.2017;Second Class;DL-13315;Delfina Latchford;Consumer;United States;Romeoville;Illinois;60441;Central;OFF-BI-10001196;Office Supplies;Binders;Avery Flip-Chart Easel Binder, Black;8,95;2;0,8;-14,77;41,647;-88,089;[41,647,-88,089]
850;CA-2014-107755;07.02.2017;12.02.2017;Standard Class;CK-12760;Cyma Kinney;Corporate;United States;Linden;New Jersey;7036;East;TEC-AC-10000710;Technology;Accessories;Maxell DVD-RAM Discs;115,36;7;0;49,6;40,622;-74,244;[40,622,-74,244]
8736;US-2014-169390;07.02.2017;10.02.2017;Second Class;CS-12250;Chris Selesnick;Corporate;United States;New York City;New York;10024;East;OFF-ST-10001558;Office Supplies;Storage;Acco Perma 4000 Stacking Storage Drawers;64,96;4;0;9,74;40,714;-74,005;[40,714,-74,005]
